sample,strategy,longest,overlap,repeat,estimate,memory,cpu_time
ATCC_17802,long,25000,500,0,5541942.0,2650284,28.03
ATCC_35221,long,25000,500,0,1652957.236111111,1453020,18.11
AMtb_1,long,25000,500,0,4351820.0,2146268,28.24
MMC234,long,25000,500,0,2298431.25,1938980,25.57
ATCC_33560,long,25000,500,0,1890894.285714286,1598908,23.17
ATCC_BAA-679,long,25000,500,0,3516667.9999999995,2348252,30.55
ATCC_25922,long,25000,500,0,5007856.0,2813212,34.83
ATCC_35897,long,25000,100,0,inf,2397704,21.32
ATCC_19119,long,25000,100,0,inf,2389520,20.57
BPH2947,long,25000,100,0,inf,2778180,24.21
ATCC_10708,long,25000,100,0,inf,2462104,17.36
KPC2,long,25000,100,0,inf,4206732,28.18
RDH275,long,25000,100,0,inf,1473764,16.3
AJ292,long,25000,100,0,inf,4842428,40.61
ATCC_17802,long,25000,100,0,inf,2642752,18.82
ATCC_35221,long,25000,100,0,inf,1453236,13.66
AMtb_1,long,25000,100,0,inf,2146604,16.6
MMC234,long,25000,100,0,inf,1942524,19.53
ATCC_33560,long,25000,100,0,inf,1590176,15.32
ATCC_BAA-679,long,25000,100,0,inf,2313412,19.9
ATCC_25922,long,25000,100,0,inf,2761376,20.12
ATCC_35897,long,25000,25000,0,2818697.7354379254,2633752,431.7
ATCC_19119,long,25000,25000,0,2943054.0206851973,2591344,414.57
BPH2947,long,25000,25000,0,3380947.0444444446,3043900,364.69
ATCC_10708,long,25000,25000,0,4555297.228320802,2666432,430.82
KPC2,long,25000,25000,0,6891235.858181817,4239248,128.5
RDH275,long,25000,25000,0,1816378.3980186481,1634016,235.36
AJ292,long,25000,25000,0,5972303.265667116,5080496,506.66
ATCC_17802,long,25000,25000,0,5053101.682086168,2815024,440.65
ATCC_35221,long,25000,25000,0,1640933.3043478262,1482224,42.41
AMtb_1,long,25000,25000,0,4259173.039265212,2148236,536.47
MMC234,long,25000,25000,0,2121665.3387096776,1941868,228.55
ATCC_33560,long,25000,25000,0,1789053.205882353,1606116,111.16
ATCC_BAA-679,long,25000,25000,0,2935093.359096459,2540216,435.96
ATCC_25922,long,25000,25000,0,6496949.473992675,3060792,543.54
ATCC_35897,long,25000,5000,0,2810680.882222222,2471972,141.98
ATCC_19119,long,25000,5000,0,2948550.0476190476,2431220,127.62
BPH2947,long,25000,5000,0,3123896.1112618726,2857936,143.55
ATCC_10708,long,25000,5000,0,4616848.75,2505932,112.94
KPC2,long,25000,5000,0,6415761.487179487,4115568,98.19
RDH275,long,25000,5000,0,1804947.8421052631,1515808,86.8
AJ292,long,25000,5000,0,5790824.309178744,4955668,211.0
ATCC_17802,long,25000,5000,0,5157921.428571429,2688648,121.68
ATCC_35221,long,25000,5000,0,1640933.3043478262,1481552,47.26
AMtb_1,long,25000,5000,0,4217875.5,2145540,137.9
MMC234,long,25000,5000,0,2114626.444852941,1942132,104.39
ATCC_33560,long,25000,5000,0,1787787.7333333332,1592192,88.33
ATCC_BAA-679,long,25000,5000,0,2955434.4594594594,2389664,132.66
ATCC_25922,long,25000,5000,0,4925563.713888889,2856312,134.04
ATCC_35897,long,25000,10000,0,2805923.3350340137,2512000,236.16
ATCC_19119,long,25000,10000,0,2949753.4285714286,2473156,226.54
BPH2947,long,25000,10000,0,3273306.783405172,2910596,233.44
ATCC_10708,long,25000,10000,0,4592886.835384615,2553116,209.17
KPC2,long,25000,10000,0,6873150.743279569,4265120,139.7
RDH275,long,25000,10000,0,1805845.3111111112,1568764,149.4
AJ292,long,25000,10000,0,5770132.741666667,5027620,343.98
ATCC_17802,long,25000,10000,0,5121487.558333334,2739140,213.57
ATCC_35221,long,25000,10000,0,1640933.3043478262,1473696,42.49
AMtb_1,long,25000,10000,0,4254952.69338118,2144872,261.23
MMC234,long,25000,10000,0,2110980.9427549196,1941584,171.3
ATCC_33560,long,25000,10000,0,1789053.205882353,1612724,112.0
ATCC_BAA-679,long,25000,10000,0,2921787.065972222,2431828,225.44
ATCC_25922,long,25000,10000,0,4968701.077647058,2904496,265.26
ATCC_35897,long,500,1000,0,2706421.79,287604,20.84
ATCC_19119,long,500,1000,0,2652991.274350649,308456,25.11
