accession	class	platform	truth_bp	rung_every_nth	mode	seed	target_reads_requested	query_reads_requested	estimate_bp	estimate_over_truth	iqr_low_bp	iqr_high_bp	normalization_engaged	skew_score	skew_verdict	detection_sample_reads	profile_median_depth	retained_reads	total_reads	queries_without_overlaps_pct	small_pool_warning	elapsed	max_rss_kb	exit_status	run_dir
SRR10388020	outlier	OXFORD_NANOPORE	2218399	20	auto	7	1500	750	2037205	0.918	719580	2700000	yes	62.00	detected	500	2	4751	9134	2.80	no	0:00.44	134048	0	runs/SRR10388020/n20.auto.s7
SRR10388020	outlier	OXFORD_NANOPORE	2218399	20	auto	42	1500	750	2042286	0.921	614760	2560000	yes	69.00	detected	500	2	4739	9134	3.20	no	0:00.43	132696	0	runs/SRR10388020/n20.auto.s42
SRR10388020	outlier	OXFORD_NANOPORE	2218399	20	auto	4556	1500	750	1986848	0.896	782530	2550000	yes	63.00	detected	500	2	4675	9134	2.53	no	0:00.43	134604	0	runs/SRR10388020/n20.auto.s4556
SRR10388020	outlier	OXFORD_NANOPORE	2218399	20	always	7	1500	750	2037205	0.918	719580	2700000	yes	NA	not reported	500	2	4751	9134	2.80	no	0:00.42	134860	0	runs/SRR10388020/n20.always.s7
SRR10388020	outlier	OXFORD_NANOPORE	2218399	20	always	42	1500	750	2042286	0.921	614760	2560000	yes	NA	not reported	500	2	4739	9134	3.20	no	0:00.43	134764	0	runs/SRR10388020/n20.always.s42
SRR10388020	outlier	OXFORD_NANOPORE	2218399	20	always	4556	1500	750	1986848	0.896	782530	2550000	yes	NA	not reported	500	2	4675	9134	2.53	no	0:00.44	131700	0	runs/SRR10388020/n20.always.s4556
SRR10388020	outlier	OXFORD_NANOPORE	2218399	29	never	7	1500	750	380749	0.172	30400	2320000	no	NA	NA	NA	NA	NA	6299	4.67	no	0:02.06	147212	0	runs/SRR10388020/n29.never.s7
SRR10388020	outlier	OXFORD_NANOPORE	2218399	29	never	42	1500	750	39116	0.018	30130	1460000	no	NA	NA	NA	NA	NA	6299	5.87	no	0:02.24	149980	0	runs/SRR10388020/n29.never.s42
SRR10388020	outlier	OXFORD_NANOPORE	2218399	29	never	4556	1500	750	38693	0.017	29790	2070000	no	NA	NA	NA	NA	NA	6299	5.60	no	0:02.20	151116	0	runs/SRR10388020/n29.never.s4556
SRR10388020	outlier	OXFORD_NANOPORE	2218399	29	auto	7	1500	750	2162198	0.975	628280	2730000	yes	63.00	detected	500	2	3396	6299	1.60	no	0:00.39	142112	0	runs/SRR10388020/n29.auto.s7
SRR10388020	outlier	OXFORD_NANOPORE	2218399	29	auto	42	1500	750	1902154	0.857	575440	2490000	yes	65.00	detected	500	2	3385	6299	1.73	no	0:00.40	140820	0	runs/SRR10388020/n29.auto.s42
SRR10388020	outlier	OXFORD_NANOPORE	2218399	29	auto	4556	1500	750	2094324	0.944	540760	2660000	yes	62.00	detected	500	2	3402	6299	1.07	no	0:00.39	140624	0	runs/SRR10388020/n29.auto.s4556
SRR10388020	outlier	OXFORD_NANOPORE	2218399	29	always	7	1500	750	2162198	0.975	628280	2730000	yes	NA	not reported	500	2	3396	6299	1.60	no	0:00.46	133824	0	runs/SRR10388020/n29.always.s7
SRR10388020	outlier	OXFORD_NANOPORE	2218399	29	always	42	1500	750	1902154	0.857	575440	2490000	yes	NA	not reported	500	2	3385	6299	1.73	no	0:00.40	136080	0	runs/SRR10388020/n29.always.s42
SRR10388020	outlier	OXFORD_NANOPORE	2218399	29	always	4556	1500	750	2094324	0.944	540760	2660000	yes	NA	not reported	500	2	3402	6299	1.07	no	0:00.49	140832	0	runs/SRR10388020/n29.always.s4556
SRR10388020	outlier	OXFORD_NANOPORE	2218399	45	never	7	750	375	36646	0.017	26830	1300000	no	NA	NA	NA	NA	NA	4060	12.80	no	0:00.70	97868	0	runs_deep/SRR10388020/n45.never.s7
SRR10388020	outlier	OXFORD_NANOPORE	2218399	45	never	42	750	375	39432	0.018	29380	1310000	no	NA	NA	NA	NA	NA	4060	13.60	no	0:00.71	93388	0	runs_deep/SRR10388020/n45.never.s42
SRR10388020	outlier	OXFORD_NANOPORE	2218399	45	never	4556	750	375	39440	0.018	27810	1100000	no	NA	NA	NA	NA	NA	4060	16.27	no	0:00.67	95924	0	runs_deep/SRR10388020/n45.never.s4556
SRR10388020	outlier	OXFORD_NANOPORE	2218399	45	auto	7	750	375	1766134	0.796	451510	2270000	yes	70.00	detected	500	1	2098	4060	13.07	no	0:00.26	97708	0	runs_deep/SRR10388020/n45.auto.s7
SRR10388020	outlier	OXFORD_NANOPORE	2218399	45	auto	42	750	375	1786714	0.805	597420	2460000	yes	68.00	detected	500	1	2077	4060	13.60	no	0:00.27	91264	0	runs_deep/SRR10388020/n45.auto.s42
SRR10388020	outlier	OXFORD_NANOPORE	2218399	45	auto	4556	750	375	1769269	0.798	612450	2340000	yes	61.00	detected	500	1	2101	4060	11.20	no	0:00.26	88216	0	runs_deep/SRR10388020/n45.auto.s4556
SRR10388020	outlier	OXFORD_NANOPORE	2218399	45	always	7	750	375	1766134	0.796	451510	2270000	yes	NA	not reported	500	1	2098	4060	13.07	no	0:00.26	96108	0	runs_deep/SRR10388020/n45.always.s7
SRR10388020	outlier	OXFORD_NANOPORE	2218399	45	always	42	750	375	1786714	0.805	597420	2460000	yes	NA	not reported	500	1	2077	4060	13.60	no	0:00.27	89380	0	runs_deep/SRR10388020/n45.always.s42
SRR10388020	outlier	OXFORD_NANOPORE	2218399	45	always	4556	750	375	1769269	0.798	612450	2340000	yes	NA	not reported	500	1	2101	4060	11.20	no	0:00.27	92980	0	runs_deep/SRR10388020/n45.always.s4556
SRR10388020	outlier	OXFORD_NANOPORE	2218399	60	never	7	750	375	38264	0.017	28170	1120000	no	NA	NA	NA	NA	NA	3045	16.00	no	0:00.65	96440	0	runs_deep/SRR10388020/n60.never.s7
SRR10388020	outlier	OXFORD_NANOPORE	2218399	60	never	42	750	375	38310	0.017	30290	1170000	no	NA	NA	NA	NA	NA	3045	14.40	no	0:00.66	98396	0	runs_deep/SRR10388020/n60.never.s42
SRR10388020	outlier	OXFORD_NANOPORE	2218399	60	never	4556	750	375	38250	0.017	27030	767100	no	NA	NA	NA	NA	NA	3045	17.60	no	0:00.73	95372	0	runs_deep/SRR10388020/n60.never.s4556
SRR10388020	outlier	OXFORD_NANOPORE	2218399	60	auto	7	750	375	1760314	0.794	368040	2190000	yes	64.00	detected	500	1	1632	3045	8.80	no	0:00.25	91400	0	runs_deep/SRR10388020/n60.auto.s7
SRR10388020	outlier	OXFORD_NANOPORE	2218399	60	auto	42	750	375	1742664	0.786	490780	2400000	yes	69.00	detected	500	1	1630	3045	12.53	no	0:00.23	84576	0	runs_deep/SRR10388020/n60.auto.s42
SRR10388020	outlier	OXFORD_NANOPORE	2218399	60	auto	4556	750	375	1736554	0.783	630220	2460000	yes	74.00	detected	500	1	1628	3045	15.47	no	0:00.24	84108	0	runs_deep/SRR10388020/n60.auto.s4556
SRR10388020	outlier	OXFORD_NANOPORE	2218399	60	always	7	750	375	1760314	0.794	368040	2190000	yes	NA	not reported	500	1	1632	3045	8.80	no	0:00.25	86620	0	runs_deep/SRR10388020/n60.always.s7
SRR10388020	outlier	OXFORD_NANOPORE	2218399	60	always	42	750	375	1742664	0.786	490780	2400000	yes	NA	not reported	500	1	1630	3045	12.53	no	0:00.23	79096	0	runs_deep/SRR10388020/n60.always.s42
SRR10388020	outlier	OXFORD_NANOPORE	2218399	60	always	4556	750	375	1736554	0.783	630220	2460000	yes	NA	not reported	500	1	1628	3045	15.47	no	0:00.23	82424	0	runs_deep/SRR10388020/n60.always.s4556
SRR10388020	outlier	OXFORD_NANOPORE	2218399	80	never	7	750	375	39445	0.018	28120	1030000	no	NA	NA	NA	NA	NA	2284	14.40	no	0:00.69	100852	0	runs_deep/SRR10388020/n80.never.s7
SRR10388020	outlier	OXFORD_NANOPORE	2218399	80	never	42	750	375	40257	0.018	30240	1150000	no	NA	NA	NA	NA	NA	2284	10.40	no	0:00.72	93916	0	runs_deep/SRR10388020/n80.never.s42
SRR10388020	outlier	OXFORD_NANOPORE	2218399	80	never	4556	750	375	39383	0.018	28700	702770	no	NA	NA	NA	NA	NA	2284	15.20	no	0:00.67	91132	0	runs_deep/SRR10388020/n80.never.s4556
SRR10388020	outlier	OXFORD_NANOPORE	2218399	80	auto	7	750	375	1823793	0.822	514010	2530000	yes	64.00	detected	500	1	1269	2284	10.13	no	0:00.23	87548	0	runs_deep/SRR10388020/n80.auto.s7
SRR10388020	outlier	OXFORD_NANOPORE	2218399	80	auto	42	750	375	1779467	0.802	514310	2260000	yes	64.00	detected	500	1	1259	2284	11.20	no	0:00.22	100340	0	runs_deep/SRR10388020/n80.auto.s42
SRR10388020	outlier	OXFORD_NANOPORE	2218399	80	auto	4556	750	375	1843290	0.831	437740	2440000	yes	67.00	detected	500	1	1250	2284	10.93	no	0:00.23	94072	0	runs_deep/SRR10388020/n80.auto.s4556
SRR10388020	outlier	OXFORD_NANOPORE	2218399	80	always	7	750	375	1823793	0.822	514010	2530000	yes	NA	not reported	500	1	1269	2284	10.13	no	0:00.23	93676	0	runs_deep/SRR10388020/n80.always.s7
SRR10388020	outlier	OXFORD_NANOPORE	2218399	80	always	42	750	375	1779467	0.802	514310	2260000	yes	NA	not reported	500	1	1259	2284	11.20	no	0:00.23	90204	0	runs_deep/SRR10388020/n80.always.s42
SRR10388020	outlier	OXFORD_NANOPORE	2218399	80	always	4556	750	375	1843290	0.831	437740	2440000	yes	NA	not reported	500	1	1250	2284	10.93	no	0:00.22	88996	0	runs_deep/SRR10388020/n80.always.s4556
SRR10861747	outlier	OXFORD_NANOPORE	2211092	1	never	7	1500	750	42888	0.019	30190	780320	no	NA	NA	NA	NA	NA	205462	1.87	no	0:08.67	235788	0	runs/SRR10861747/n1.never.s7
SRR10861747	outlier	OXFORD_NANOPORE	2211092	1	never	42	1500	750	42068	0.019	29410	748850	no	NA	NA	NA	NA	NA	205462	2.80	no	0:08.64	246096	0	runs/SRR10861747/n1.never.s42
SRR10861747	outlier	OXFORD_NANOPORE	2211092	1	never	4556	1500	750	44143	0.020	29300	409210	no	NA	NA	NA	NA	NA	205462	2.27	no	0:08.85	232888	0	runs/SRR10861747/n1.never.s4556
SRR10861747	outlier	OXFORD_NANOPORE	2211092	1	auto	7	1500	750	1988263	0.899	856970	2490000	yes	340.00	detected	1995	21	45731	205462	0.13	no	0:08.10	212676	0	runs/SRR10861747/n1.auto.s7
SRR10861747	outlier	OXFORD_NANOPORE	2211092	1	auto	42	1500	750	2004527	0.907	795000	2500000	yes	339.00	detected	2042	21	45658	205462	0.40	no	0:08.09	226244	0	runs/SRR10861747/n1.auto.s42
SRR10861747	outlier	OXFORD_NANOPORE	2211092	1	auto	4556	1500	750	2008346	0.908	806460	2440000	yes	340.00	detected	2065	21	45603	205462	0.67	no	0:08.10	226108	0	runs/SRR10861747/n1.auto.s4556
SRR10861747	outlier	OXFORD_NANOPORE	2211092	1	always	7	1500	750	1988263	0.899	856970	2490000	yes	NA	not reported	1995	21	45731	205462	0.13	no	0:08.03	225708	0	runs/SRR10861747/n1.always.s7
SRR10861747	outlier	OXFORD_NANOPORE	2211092	1	always	42	1500	750	2004527	0.907	795000	2500000	yes	NA	not reported	2042	21	45658	205462	0.40	no	0:08.13	212332	0	runs/SRR10861747/n1.always.s42
SRR10861747	outlier	OXFORD_NANOPORE	2211092	1	always	4556	1500	750	2008346	0.908	806460	2440000	yes	NA	not reported	2065	21	45603	205462	0.67	no	0:08.07	219704	0	runs/SRR10861747/n1.always.s4556
SRR10861747	outlier	OXFORD_NANOPORE	2211092	8	never	7	1500	750	44454	0.020	28360	866390	no	NA	NA	NA	NA	NA	25683	2.27	no	0:05.25	281300	0	runs/SRR10861747/n8.never.s7
SRR10861747	outlier	OXFORD_NANOPORE	2211092	8	never	42	1500	750	41478	0.019	30090	669200	no	NA	NA	NA	NA	NA	25683	3.07	no	0:05.54	250712	0	runs/SRR10861747/n8.never.s42
SRR10861747	outlier	OXFORD_NANOPORE	2211092	8	never	4556	1500	750	47207	0.021	27500	742140	no	NA	NA	NA	NA	NA	25683	1.33	no	0:05.51	252396	0	runs/SRR10861747/n8.never.s4556
SRR10861747	outlier	OXFORD_NANOPORE	2211092	8	auto	7	1500	750	2047978	0.926	676330	2500000	yes	104.00	detected	500	7	9540	25683	0.40	no	0:01.19	231592	0	runs/SRR10861747/n8.auto.s7
SRR10861747	outlier	OXFORD_NANOPORE	2211092	8	auto	42	1500	750	2012901	0.910	818680	2460000	yes	95.00	detected	500	6	9216	25683	0.80	no	0:01.19	226916	0	runs/SRR10861747/n8.auto.s42
SRR10861747	outlier	OXFORD_NANOPORE	2211092	8	auto	4556	1500	750	1974115	0.893	634990	2430000	yes	101.00	detected	500	7	9518	25683	0.13	no	0:01.20	228244	0	runs/SRR10861747/n8.auto.s4556
SRR10861747	outlier	OXFORD_NANOPORE	2211092	8	always	7	1500	750	2047978	0.926	676330	2500000	yes	NA	not reported	500	7	9540	25683	0.40	no	0:01.20	232072	0	runs/SRR10861747/n8.always.s7
SRR10861747	outlier	OXFORD_NANOPORE	2211092	8	always	42	1500	750	2012901	0.910	818680	2460000	yes	NA	not reported	500	6	9216	25683	0.80	no	0:01.16	228832	0	runs/SRR10861747/n8.always.s42
SRR10861747	outlier	OXFORD_NANOPORE	2211092	8	always	4556	1500	750	1974115	0.893	634990	2430000	yes	NA	not reported	500	7	9518	25683	0.13	no	0:01.19	231120	0	runs/SRR10861747/n8.always.s4556
SRR10861747	outlier	OXFORD_NANOPORE	2211092	13	never	7	1500	750	41491	0.019	28460	708460	no	NA	NA	NA	NA	NA	15805	2.40	no	0:05.61	243492	0	runs/SRR10861747/n13.never.s7
SRR10861747	outlier	OXFORD_NANOPORE	2211092	13	never	42	1500	750	42649	0.019	29550	667640	no	NA	NA	NA	NA	NA	15805	2.00	no	0:05.46	321208	0	runs/SRR10861747/n13.never.s42
SRR10861747	outlier	OXFORD_NANOPORE	2211092	13	never	4556	1500	750	45496	0.021	29260	565770	no	NA	NA	NA	NA	NA	15805	2.00	no	0:05.16	246164	0	runs/SRR10861747/n13.never.s4556
SRR10861747	outlier	OXFORD_NANOPORE	2211092	13	auto	7	1500	750	1985316	0.898	646220	2440000	yes	100.00	detected	500	5	5908	15805	0.13	no	0:00.97	232452	0	runs/SRR10861747/n13.auto.s7
SRR10861747	outlier	OXFORD_NANOPORE	2211092	13	auto	42	1500	750	1923392	0.870	705120	2370000	yes	106.00	detected	500	4	5637	15805	0.93	no	0:00.94	228360	0	runs/SRR10861747/n13.auto.s42
SRR10861747	outlier	OXFORD_NANOPORE	2211092	13	auto	4556	1500	750	2047826	0.926	730150	2500000	yes	108.00	detected	500	4	5701	15805	0.13	no	0:00.95	238320	0	runs/SRR10861747/n13.auto.s4556
SRR10861747	outlier	OXFORD_NANOPORE	2211092	13	always	7	1500	750	1985316	0.898	646220	2440000	yes	NA	not reported	500	5	5908	15805	0.13	no	0:00.96	240400	0	runs/SRR10861747/n13.always.s7
SRR10861747	outlier	OXFORD_NANOPORE	2211092	13	always	42	1500	750	1923392	0.870	705120	2370000	yes	NA	not reported	500	4	5637	15805	0.93	no	0:00.94	235244	0	runs/SRR10861747/n13.always.s42
SRR10861747	outlier	OXFORD_NANOPORE	2211092	13	always	4556	1500	750	2047826	0.926	730150	2500000	yes	NA	not reported	500	4	5701	15805	0.13	no	0:00.94	228612	0	runs/SRR10861747/n13.always.s4556
SRR10861747	outlier	OXFORD_NANOPORE	2211092	19	never	7	1500	750	41438	0.019	29600	1040000	no	NA	NA	NA	NA	NA	10814	2.40	no	0:05.12	280744	0	runs/SRR10861747/n19.never.s7
SRR10861747	outlier	OXFORD_NANOPORE	2211092	19	never	42	1500	750	43113	0.019	30470	1060000	no	NA	NA	NA	NA	NA	10814	2.27	no	0:05.12	259708	0	runs/SRR10861747/n19.never.s42
SRR10861747	outlier	OXFORD_NANOPORE	2211092	19	never	4556	1500	750	40151	0.018	30170	40660	no	NA	NA	NA	NA	NA	10814	2.13	no	0:05.63	228072	0	runs/SRR10861747/n19.never.s4556
SRR10861747	outlier	OXFORD_NANOPORE	2211092	19	auto	7	1500	750	1970315	0.891	733490	2370000	yes	110.00	detected	500	3	3952	10814	NA	no	0:00.82	197948	0	runs/SRR10861747/n19.auto.s7
SRR10861747	outlier	OXFORD_NANOPORE	2211092	19	auto	42	1500	750	1979681	0.895	788480	2370000	yes	113.00	detected	500	3	3949	10814	0.27	no	0:00.82	229428	0	runs/SRR10861747/n19.auto.s42
SRR10861747	outlier	OXFORD_NANOPORE	2211092	19	auto	4556	1500	750	1959182	0.886	828750	2430000	yes	101.00	detected	500	3	3942	10814	0.40	no	0:00.83	199924	0	runs/SRR10861747/n19.auto.s4556
SRR10861747	outlier	OXFORD_NANOPORE	2211092	19	always	7	1500	750	1970315	0.891	733490	2370000	yes	NA	not reported	500	3	3952	10814	NA	no	0:00.81	228348	0	runs/SRR10861747/n19.always.s7
SRR10861747	outlier	OXFORD_NANOPORE	2211092	19	always	42	1500	750	1979681	0.895	788480	2370000	yes	NA	not reported	500	3	3949	10814	0.27	no	0:00.82	198452	0	runs/SRR10861747/n19.always.s42
SRR10861747	outlier	OXFORD_NANOPORE	2211092	19	always	4556	1500	750	1959182	0.886	828750	2430000	yes	NA	not reported	500	3	3942	10814	0.40	no	0:00.83	196448	0	runs/SRR10861747/n19.always.s4556
SRR10861747	outlier	OXFORD_NANOPORE	2211092	26	never	7	1500	750	46759	0.021	27810	989590	no	NA	NA	NA	NA	NA	7903	2.53	no	0:05.24	233100	0	runs/SRR10861747/n26.never.s7
SRR10861747	outlier	OXFORD_NANOPORE	2211092	26	never	42	1500	750	43310	0.020	29140	606440	no	NA	NA	NA	NA	NA	7903	2.53	no	0:05.42	245244	0	runs/SRR10861747/n26.never.s42
SRR10861747	outlier	OXFORD_NANOPORE	2211092	26	never	4556	1500	750	41812	0.019	29130	1010000	no	NA	NA	NA	NA	NA	7903	2.80	no	0:05.20	269816	0	runs/SRR10861747/n26.never.s4556
SRR10861747	outlier	OXFORD_NANOPORE	2211092	26	auto	7	1500	750	2000950	0.905	770780	2410000	yes	103.00	detected	500	2	2814	7903	NA	no	0:00.75	227812	0	runs/SRR10861747/n26.auto.s7
SRR10861747	outlier	OXFORD_NANOPORE	2211092	26	auto	42	1500	750	2003506	0.906	799770	2400000	yes	104.00	detected	500	2	2811	7903	0.40	no	0:00.73	222692	0	runs/SRR10861747/n26.auto.s42
SRR10861747	outlier	OXFORD_NANOPORE	2211092	26	auto	4556	1500	750	2007540	0.908	663550	2430000	yes	102.00	detected	500	2	2798	7903	0.13	no	0:00.74	226460	0	runs/SRR10861747/n26.auto.s4556
SRR10861747	outlier	OXFORD_NANOPORE	2211092	26	always	7	1500	750	2000950	0.905	770780	2410000	yes	NA	not reported	500	2	2814	7903	NA	no	0:00.73	234816	0	runs/SRR10861747/n26.always.s7
SRR10861747	outlier	OXFORD_NANOPORE	2211092	26	always	42	1500	750	2003506	0.906	799770	2400000	yes	NA	not reported	500	2	2811	7903	0.40	no	0:00.74	195140	0	runs/SRR10861747/n26.always.s42
SRR10861747	outlier	OXFORD_NANOPORE	2211092	26	always	4556	1500	750	2007540	0.908	663550	2430000	yes	NA	not reported	500	2	2798	7903	0.13	no	0:00.74	222228	0	runs/SRR10861747/n26.always.s4556
SRR10861747	outlier	OXFORD_NANOPORE	2211092	34	never	7	1500	750	40928	0.019	29150	481420	no	NA	NA	NA	NA	NA	6043	2.53	no	0:05.61	264720	0	runs/SRR10861747/n34.never.s7
SRR10861747	outlier	OXFORD_NANOPORE	2211092	34	never	42	1500	750	43701	0.020	29320	509260	no	NA	NA	NA	NA	NA	6043	1.73	no	0:05.46	249260	0	runs/SRR10861747/n34.never.s42
SRR10861747	outlier	OXFORD_NANOPORE	2211092	34	never	4556	1500	750	44721	0.020	29210	776650	no	NA	NA	NA	NA	NA	6043	2.00	no	0:05.44	281864	0	runs/SRR10861747/n34.never.s4556
SRR10861747	outlier	OXFORD_NANOPORE	2211092	34	auto	7	1500	750	1992029	0.901	635050	2400000	yes	101.00	detected	500	2	2268	6043	0.40	no	0:00.72	229284	0	runs/SRR10861747/n34.auto.s7
SRR10861747	outlier	OXFORD_NANOPORE	2211092	34	auto	42	1500	750	1957196	0.885	666250	2330000	yes	114.00	detected	500	2	2246	6043	NA	yes	0:00.72	218112	0	runs/SRR10861747/n34.auto.s42
SRR10861747	outlier	OXFORD_NANOPORE	2211092	34	auto	4556	1500	750	2054632	0.929	704370	2400000	yes	109.00	detected	500	2	2249	6043	0.13	yes	0:00.71	228220	0	runs/SRR10861747/n34.auto.s4556
SRR10861747	outlier	OXFORD_NANOPORE	2211092	34	always	7	1500	750	1992029	0.901	635050	2400000	yes	NA	not reported	500	2	2268	6043	0.40	no	0:00.71	217500	0	runs/SRR10861747/n34.always.s7
SRR10861747	outlier	OXFORD_NANOPORE	2211092	34	always	42	1500	750	1957196	0.885	666250	2330000	yes	NA	not reported	500	2	2246	6043	NA	yes	0:00.72	220316	0	runs/SRR10861747/n34.always.s42
SRR10861747	outlier	OXFORD_NANOPORE	2211092	34	always	4556	1500	750	2054632	0.929	704370	2400000	yes	NA	not reported	500	2	2249	6043	0.13	yes	0:00.73	228316	0	runs/SRR10861747/n34.always.s4556
SRR10861747	outlier	OXFORD_NANOPORE	2211092	55	never	7	750	375	40458	0.018	27280	41430	no	NA	NA	NA	NA	NA	3736	5.07	no	0:02.68	116616	0	runs_deep/SRR10861747/n55.never.s7
SRR10861747	outlier	OXFORD_NANOPORE	2211092	55	never	42	750	375	42469	0.019	27850	42880	no	NA	NA	NA	NA	NA	3736	6.13	no	0:02.15	109332	0	runs_deep/SRR10861747/n55.never.s42
SRR10861747	outlier	OXFORD_NANOPORE	2211092	55	never	4556	750	375	42962	0.019	25930	47690	no	NA	NA	NA	NA	NA	3736	6.40	no	0:03.28	123020	0	runs_deep/SRR10861747/n55.never.s4556
SRR10861747	outlier	OXFORD_NANOPORE	2211092	55	auto	7	750	375	1726300	0.781	490890	2390000	yes	108.00	detected	500	2	1438	3736	3.47	no	0:00.56	115672	0	runs_deep/SRR10861747/n55.auto.s7
SRR10861747	outlier	OXFORD_NANOPORE	2211092	55	auto	42	750	375	1979030	0.895	612720	2600000	yes	120.00	detected	500	1	1282	3736	2.67	no	0:00.55	107612	0	runs_deep/SRR10861747/n55.auto.s42
SRR10861747	outlier	OXFORD_NANOPORE	2211092	55	auto	4556	750	375	2002135	0.905	702380	2460000	yes	99.00	detected	500	1	1275	3736	2.67	no	0:00.56	115464	0	runs_deep/SRR10861747/n55.auto.s4556
SRR10861747	outlier	OXFORD_NANOPORE	2211092	55	always	7	750	375	1726300	0.781	490890	2390000	yes	NA	not reported	500	2	1438	3736	3.47	no	0:00.50	112332	0	runs_deep/SRR10861747/n55.always.s7
SRR10861747	outlier	OXFORD_NANOPORE	2211092	55	always	42	750	375	1979030	0.895	612720	2600000	yes	NA	not reported	500	1	1282	3736	2.67	no	0:00.78	119096	0	runs_deep/SRR10861747/n55.always.s42
SRR10861747	outlier	OXFORD_NANOPORE	2211092	55	always	4556	750	375	2002135	0.905	702380	2460000	yes	NA	not reported	500	1	1275	3736	2.67	no	0:00.87	119448	0	runs_deep/SRR10861747/n55.always.s4556
SRR10861747	outlier	OXFORD_NANOPORE	2211092	70	never	7	750	375	44408	0.020	28740	44690	no	NA	NA	NA	NA	NA	2936	8.53	no	0:03.86	119492	0	runs_deep/SRR10861747/n70.never.s7
SRR10861747	outlier	OXFORD_NANOPORE	2211092	70	never	42	750	375	37554	0.017	30070	37900	no	NA	NA	NA	NA	NA	2936	6.93	no	0:01.92	109596	0	runs_deep/SRR10861747/n70.never.s42
SRR10861747	outlier	OXFORD_NANOPORE	2211092	70	never	4556	750	375	42641	0.019	29540	42910	no	NA	NA	NA	NA	NA	2936	5.33	no	0:02.19	118380	0	runs_deep/SRR10861747/n70.never.s4556
SRR10861747	outlier	OXFORD_NANOPORE	2211092	70	auto	7	750	375	1878566	0.850	668310	2330000	yes	104.00	detected	500	1	1062	2936	3.47	yes	0:00.49	109736	0	runs_deep/SRR10861747/n70.auto.s7
SRR10861747	outlier	OXFORD_NANOPORE	2211092	70	auto	42	750	375	1816794	0.822	634640	2400000	yes	110.00	detected	500	1	1059	2936	5.07	yes	0:00.41	108576	0	runs_deep/SRR10861747/n70.auto.s42
SRR10861747	outlier	OXFORD_NANOPORE	2211092	70	auto	4556	750	375	1823662	0.825	576820	2370000	yes	98.00	detected	500	1	1067	2936	3.47	yes	0:00.58	110780	0	runs_deep/SRR10861747/n70.auto.s4556
SRR10861747	outlier	OXFORD_NANOPORE	2211092	70	always	7	750	375	1878566	0.850	668310	2330000	yes	NA	not reported	500	1	1062	2936	3.47	yes	0:00.61	111172	0	runs_deep/SRR10861747/n70.always.s7
SRR10861747	outlier	OXFORD_NANOPORE	2211092	70	always	42	750	375	1816794	0.822	634640	2400000	yes	NA	not reported	500	1	1059	2936	5.07	yes	0:00.67	118152	0	runs_deep/SRR10861747/n70.always.s42
SRR10861747	outlier	OXFORD_NANOPORE	2211092	70	always	4556	750	375	1823662	0.825	576820	2370000	yes	NA	not reported	500	1	1067	2936	3.47	yes	0:00.59	119012	0	runs_deep/SRR10861747/n70.always.s4556
SRR10861751	outlier	OXFORD_NANOPORE	2220590	1	never	7	1500	750	37739	0.017	27180	38010	no	NA	NA	NA	NA	NA	98030	1.87	no	0:08.37	363356	0	runs/SRR10861751/n1.never.s7
SRR10861751	outlier	OXFORD_NANOPORE	2220590	1	never	42	1500	750	39826	0.018	26190	40140	no	NA	NA	NA	NA	NA	98030	2.00	no	0:07.95	279128	0	runs/SRR10861751/n1.never.s42
SRR10861751	outlier	OXFORD_NANOPORE	2220590	1	never	4556	1500	750	39514	0.018	28530	39810	no	NA	NA	NA	NA	NA	98030	2.53	no	0:07.98	255608	0	runs/SRR10861751/n1.never.s4556
SRR10861751	outlier	OXFORD_NANOPORE	2220590	1	auto	7	1500	750	2097302	0.944	715370	2600000	yes	212.00	detected	920	18	27647	98030	NA	no	0:04.39	226004	0	runs/SRR10861751/n1.auto.s7
SRR10861751	outlier	OXFORD_NANOPORE	2220590	1	auto	42	1500	750	1832078	0.825	763900	2260000	yes	191.00	detected	958	16	25942	98030	0.13	no	0:04.42	221952	0	runs/SRR10861751/n1.auto.s42
SRR10861751	outlier	OXFORD_NANOPORE	2220590	1	auto	4556	1500	750	2056686	0.926	759910	2450000	yes	203.00	detected	994	15	25030	98030	NA	no	0:04.40	222196	0	runs/SRR10861751/n1.auto.s4556
SRR10861751	outlier	OXFORD_NANOPORE	2220590	1	always	7	1500	750	2097302	0.944	715370	2600000	yes	NA	not reported	920	18	27647	98030	NA	no	0:04.38	218088	0	runs/SRR10861751/n1.always.s7
SRR10861751	outlier	OXFORD_NANOPORE	2220590	1	always	42	1500	750	1832078	0.825	763900	2260000	yes	NA	not reported	958	16	25942	98030	0.13	no	0:04.45	233816	0	runs/SRR10861751/n1.always.s42
SRR10861751	outlier	OXFORD_NANOPORE	2220590	1	always	4556	1500	750	2056686	0.926	759910	2450000	yes	NA	not reported	994	15	25030	98030	NA	no	0:04.41	233356	0	runs/SRR10861751/n1.always.s4556
SRR10861751	outlier	OXFORD_NANOPORE	2220590	5	never	7	1500	750	38552	0.017	25660	38900	no	NA	NA	NA	NA	NA	19606	3.20	no	0:06.95	320640	0	runs/SRR10861751/n5.never.s7
SRR10861751	outlier	OXFORD_NANOPORE	2220590	5	never	42	1500	750	37862	0.017	27790	38130	no	NA	NA	NA	NA	NA	19606	1.87	no	0:06.51	314028	0	runs/SRR10861751/n5.never.s42
