accession	class	platform	truth_bp	rung_every_nth	mode	seed	target_reads_requested	query_reads_requested	estimate_bp	estimate_over_truth	iqr_low_bp	iqr_high_bp	normalization_engaged	skew_score	skew_verdict	detection_sample_reads	profile_median_depth	retained_reads	total_reads	queries_without_overlaps_pct	small_pool_warning	elapsed	max_rss_kb	exit_status	run_dir
SRR10353548	outlier	OXFORD_NANOPORE	2269994	38	never	4556	1500	750	36030	0.016	26510	2280000	no	NA	NA	NA	NA	NA	6612	4.53	no	0:02.93	200308	0	runs/SRR10353548/n38.never.s4556
SRR10353548	outlier	OXFORD_NANOPORE	2269994	38	auto	7	1500	750	2152948	0.948	531450	2760000	yes	65.00	detected	500	2	3413	6612	0.80	no	0:00.52	163884	0	runs/SRR10353548/n38.auto.s7
SRR10353548	outlier	OXFORD_NANOPORE	2269994	38	auto	42	1500	750	2043857	0.900	477740	2700000	yes	69.00	detected	500	2	3410	6612	2.13	no	0:00.56	166244	0	runs/SRR10353548/n38.auto.s42
SRR10353548	outlier	OXFORD_NANOPORE	2269994	38	auto	4556	1500	750	2066109	0.910	560890	2620000	yes	64.00	detected	500	2	3397	6612	2.00	no	0:00.52	156452	0	runs/SRR10353548/n38.auto.s4556
SRR10353548	outlier	OXFORD_NANOPORE	2269994	38	always	7	1500	750	2152948	0.948	531450	2760000	yes	NA	not reported	500	2	3413	6612	0.80	no	0:00.54	161968	0	runs/SRR10353548/n38.always.s7
SRR10353548	outlier	OXFORD_NANOPORE	2269994	38	always	42	1500	750	2043857	0.900	477740	2700000	yes	NA	not reported	500	2	3410	6612	2.13	no	0:00.53	168636	0	runs/SRR10353548/n38.always.s42
SRR10353548	outlier	OXFORD_NANOPORE	2269994	38	always	4556	1500	750	2066109	0.910	560890	2620000	yes	NA	not reported	500	2	3397	6612	2.00	no	0:00.53	174040	0	runs/SRR10353548/n38.always.s4556
SRR10353548	outlier	OXFORD_NANOPORE	2269994	60	never	7	750	375	37918	0.017	26370	816730	no	NA	NA	NA	NA	NA	4188	13.07	no	0:00.75	102432	0	runs_deep/SRR10353548/n60.never.s7
SRR10353548	outlier	OXFORD_NANOPORE	2269994	60	never	42	750	375	37424	0.016	26780	487780	no	NA	NA	NA	NA	NA	4188	10.13	no	0:00.81	101380	0	runs_deep/SRR10353548/n60.never.s42
SRR10353548	outlier	OXFORD_NANOPORE	2269994	60	never	4556	750	375	41964	0.018	25940	981470	no	NA	NA	NA	NA	NA	4188	13.60	no	0:00.71	103872	0	runs_deep/SRR10353548/n60.never.s4556
SRR10353548	outlier	OXFORD_NANOPORE	2269994	60	auto	7	750	375	1957968	0.863	697390	2550000	yes	68.00	detected	500	1	2067	4188	5.87	no	0:00.28	113340	0	runs_deep/SRR10353548/n60.auto.s7
SRR10353548	outlier	OXFORD_NANOPORE	2269994	60	auto	42	750	375	1744723	0.769	634340	2280000	yes	62.00	detected	500	1	2040	4188	7.73	no	0:00.28	95540	0	runs_deep/SRR10353548/n60.auto.s42
SRR10353548	outlier	OXFORD_NANOPORE	2269994	60	auto	4556	750	375	1956751	0.862	627140	2520000	yes	69.00	detected	500	1	2073	4188	9.07	no	0:00.28	113120	0	runs_deep/SRR10353548/n60.auto.s4556
SRR10353548	outlier	OXFORD_NANOPORE	2269994	60	always	7	750	375	1957968	0.863	697390	2550000	yes	NA	not reported	500	1	2067	4188	5.87	no	0:00.29	108820	0	runs_deep/SRR10353548/n60.always.s7
SRR10353548	outlier	OXFORD_NANOPORE	2269994	60	always	42	750	375	1744723	0.769	634340	2280000	yes	NA	not reported	500	1	2040	4188	7.73	no	0:00.29	94648	0	runs_deep/SRR10353548/n60.always.s42
SRR10353548	outlier	OXFORD_NANOPORE	2269994	60	always	4556	750	375	1956751	0.862	627140	2520000	yes	NA	not reported	500	1	2073	4188	9.07	no	0:00.28	108840	0	runs_deep/SRR10353548/n60.always.s4556
SRR10353548	outlier	OXFORD_NANOPORE	2269994	80	never	7	750	375	39934	0.018	28100	1040000	no	NA	NA	NA	NA	NA	3141	11.47	no	0:00.76	103476	0	runs_deep/SRR10353548/n80.never.s7
SRR10353548	outlier	OXFORD_NANOPORE	2269994	80	never	42	750	375	40309	0.018	29440	823190	no	NA	NA	NA	NA	NA	3141	12.80	no	0:00.73	97712	0	runs_deep/SRR10353548/n80.never.s42
SRR10353548	outlier	OXFORD_NANOPORE	2269994	80	never	4556	750	375	39116	0.017	27730	1340000	no	NA	NA	NA	NA	NA	3141	12.53	no	0:00.65	100384	0	runs_deep/SRR10353548/n80.never.s4556
SRR10353548	outlier	OXFORD_NANOPORE	2269994	80	auto	7	750	375	1909477	0.841	493800	2270000	yes	72.00	detected	500	1	1613	3141	8.53	no	0:00.25	105816	0	runs_deep/SRR10353548/n80.auto.s7
SRR10353548	outlier	OXFORD_NANOPORE	2269994	80	auto	42	750	375	1888527	0.832	700870	2510000	yes	68.00	detected	500	1	1592	3141	10.40	no	0:00.27	96552	0	runs_deep/SRR10353548/n80.auto.s42
SRR10353548	outlier	OXFORD_NANOPORE	2269994	80	auto	4556	750	375	1666168	0.734	453250	2150000	yes	69.00	detected	500	1	1612	3141	11.20	no	0:00.26	101288	0	runs_deep/SRR10353548/n80.auto.s4556
SRR10353548	outlier	OXFORD_NANOPORE	2269994	80	always	7	750	375	1909477	0.841	493800	2270000	yes	NA	not reported	500	1	1613	3141	8.53	no	0:00.28	105624	0	runs_deep/SRR10353548/n80.always.s7
SRR10353548	outlier	OXFORD_NANOPORE	2269994	80	always	42	750	375	1888527	0.832	700870	2510000	yes	NA	not reported	500	1	1592	3141	10.40	no	0:00.25	92900	0	runs_deep/SRR10353548/n80.always.s42
SRR10353548	outlier	OXFORD_NANOPORE	2269994	80	always	4556	750	375	1666168	0.734	453250	2150000	yes	NA	not reported	500	1	1612	3141	11.20	no	0:00.25	102016	0	runs_deep/SRR10353548/n80.always.s4556
SRR10353548	outlier	OXFORD_NANOPORE	2269994	100	never	7	750	375	40330	0.018	27270	1270000	no	NA	NA	NA	NA	NA	2513	10.67	no	0:00.78	106648	0	runs_deep/SRR10353548/n100.never.s7
SRR10353548	outlier	OXFORD_NANOPORE	2269994	100	never	42	750	375	40641	0.018	28690	672600	no	NA	NA	NA	NA	NA	2513	10.13	no	0:00.85	99000	0	runs_deep/SRR10353548/n100.never.s42
SRR10353548	outlier	OXFORD_NANOPORE	2269994	100	never	4556	750	375	40131	0.018	26010	483670	no	NA	NA	NA	NA	NA	2513	16.00	no	0:00.74	97668	0	runs_deep/SRR10353548/n100.never.s4556
SRR10353548	outlier	OXFORD_NANOPORE	2269994	100	auto	7	750	375	1807437	0.796	350680	2260000	yes	73.00	detected	500	1	1299	2513	9.60	no	0:00.26	97816	0	runs_deep/SRR10353548/n100.auto.s7
SRR10353548	outlier	OXFORD_NANOPORE	2269994	100	auto	42	750	375	1945796	0.857	420460	2500000	yes	67.00	detected	500	1	1274	2513	8.27	no	0:00.25	101196	0	runs_deep/SRR10353548/n100.auto.s42
SRR10353548	outlier	OXFORD_NANOPORE	2269994	100	auto	4556	750	375	2176722	0.959	596230	2700000	yes	72.00	detected	500	1	1281	2513	12.27	no	0:00.24	97480	0	runs_deep/SRR10353548/n100.auto.s4556
SRR10353548	outlier	OXFORD_NANOPORE	2269994	100	always	7	750	375	1807437	0.796	350680	2260000	yes	NA	not reported	500	1	1299	2513	9.60	no	0:00.25	105460	0	runs_deep/SRR10353548/n100.always.s7
SRR10353548	outlier	OXFORD_NANOPORE	2269994	100	always	42	750	375	1945796	0.857	420460	2500000	yes	NA	not reported	500	1	1274	2513	8.27	no	0:00.24	100600	0	runs_deep/SRR10353548/n100.always.s42
SRR10353548	outlier	OXFORD_NANOPORE	2269994	100	always	4556	750	375	2176722	0.959	596230	2700000	yes	NA	not reported	500	1	1281	2513	12.27	no	0:00.25	94160	0	runs_deep/SRR10353548/n100.always.s4556
SRR10388020	outlier	OXFORD_NANOPORE	2218399	1	never	7	1500	750	38348	0.017	28990	2080000	no	NA	NA	NA	NA	NA	182663	6.13	no	0:08.78	161220	0	runs/SRR10388020/n1.never.s7
SRR10388020	outlier	OXFORD_NANOPORE	2218399	1	never	42	1500	750	422592	0.190	29550	1960000	no	NA	NA	NA	NA	NA	182663	5.20	no	0:08.69	152448	0	runs/SRR10388020/n1.never.s42
