split	threshold	multiplier	n	in_band	in_band_pct	n_sub05	n_regressed	n_rescued	n_moved	median_abs_log2	mean_abs_log2
all	24	8	3370	2002	59.4065	13	3	12	73	0.0981	0.2210
all	32	1	3370	1997	59.2582	13	5	13	51	0.0976	0.2194
all	32	2	3370	1997	59.2582	14	4	12	51	0.0975	0.2201
all	32	3	3370	1997	59.2582	13	3	12	51	0.0976	0.2202
all	32	4	3370	1997	59.2582	13	3	12	51	0.0976	0.2207
all	32	6	3370	1997	59.2582	13	3	12	51	0.0976	0.2211
all	32	8	3370	1998	59.2878	13	3	12	51	0.0981	0.2214
all	48	1	3370	1992	59.1098	14	4	11	30	0.0981	0.2222
all	48	2	3370	1991	59.0801	14	3	11	30	0.0981	0.2222
all	48	3	3370	1991	59.0801	14	2	11	30	0.0981	0.2223
all	48	4	3370	1991	59.0801	14	2	11	30	0.0981	0.2223
all	48	6	3370	1990	59.0504	14	2	11	30	0.0981	0.2224
all	48	8	3370	1991	59.0801	14	2	11	30	0.0982	0.2224
all	64	1	3370	1990	59.0504	15	3	10	22	0.0981	0.2228
all	64	2	3370	1989	59.0208	15	3	10	22	0.0984	0.2229
all	64	3	3370	1989	59.0208	15	2	10	22	0.0984	0.2229
all	64	4	3370	1989	59.0208	15	2	10	22	0.0984	0.2229
all	64	6	3370	1988	58.9911	15	2	10	22	0.0984	0.2230
all	64	8	3370	1989	59.0208	15	2	10	22	0.0984	0.2230
all	100	1	3370	1988	58.9911	16	1	9	13	0.0984	0.2238
all	100	2	3370	1988	58.9911	16	1	9	13	0.0984	0.2238
all	100	3	3370	1989	59.0208	16	0	9	13	0.0984	0.2238
all	100	4	3370	1989	59.0208	16	0	9	13	0.0984	0.2238
all	100	6	3370	1988	58.9911	16	0	9	13	0.0984	0.2238
all	100	8	3370	1989	59.0208	16	0	9	13	0.0984	0.2238
all	inf	1	3370	1978	58.6944	25	0	0	0	0.0990	0.2372
all	inf	2	3370	1978	58.6944	25	0	0	0	0.0990	0.2372
all	inf	3	3370	1978	58.6944	25	0	0	0	0.0990	0.2372
all	inf	4	3370	1978	58.6944	25	0	0	0	0.0990	0.2372
all	inf	6	3370	1978	58.6944	25	0	0	0	0.0990	0.2372
all	inf	8	3370	1978	58.6944	25	0	0	0	0.0990	0.2372
